ID,Fundnr,Anzahl,Bodenzeichen,Bodenform,DMmax,Dmproz,BZCHN_erkannt,BZCHN_Ansatz,i,a,Typ,Fragmenttyp,Standflaeche,Produktionsspuren,joint,moeglicher_joint,Formaehnlichkeit,Erhaltung
223,1230289,6,3,1,,,,,,,,,,,,,,
224,1230289,18,3,3,,,,,,,,,,,,,,
225,1230288,2,3,1,,,,,,,,,,,,,,
226,1230284,1,3,1,12,20,,,,,,,,,,,,
227,1230284,7,3,3,,,,,,,,,,,,,,
228,1230284,1,3,3,8,20,,,,,,,,,,,,
229,1230282,1,1,10,,,,,,,,Mittelteil,,,,,,
230,1230282,18,3,10,,,,,,,,,,,,,,
231,1230282,10,3,10,,,,,,,,,,,,,,
232,1230252,5,3,10,,,,,,,,,,,,,,
233,1230250,4,3,1,,,,,,,,,,,,,,
234,1230234,1,3,10,,,,,,,,Mittelteil,,,,,,
235,1230234,4,3,10,,,,,,,,,,,,,,
236,1230207,1,3,1,,,,,,,,,,,,,,
237,1230206,1,3,9,,,,,,,,Mittelteil,,,,,,
238,1230204,1,3,9,,,,,,,,,,,,,,
239,1230200,1,3,4,,,,,,,Garz,,,,,,,
240,1230200,1,3,1,,,,,,,,,,,,,,
241,1230200,1,3,4,,,,,,,,,,,,,,
242,1230197,1,3,1,10,15,,,,,,,4,,,,,
243,1230197,2,3,1,,,,,,,,,,,,,,
244,1230197,1,3,5,,,,,,,,,,,,,,
245,1230197,1,3,5,9,25,,,,,,,,,,,,
246,1230174,1,3,1,9,15,,,,,,,6,,,,,
247,1230174,1,3,10,,,,,,4,,Mittelteil,,,,,,
248,1230174,1,3,1,8,25,,,,,,,,,,,,
249,1230174,26,3,10,,,,,,,,,,,,,,
250,1230050,10,3,1,,,,,,,,,,,,,,
251,1230050,1,3,1,9,18,,,,,,,,,,,,
252,1230050,1,3,3,10,20,,,,,,,,,,,,
253,1230050,1,3,4,11,10,,,,,,,,,,,,
254,123041,1,3,1,8,5,,,,,,,,Textilabdruck,,,,
255,123041,1,3,7,8,20,,,,,,,,,,,,
256,123041,1,3,1,9,30,,,,,,,,,,,,
257,123041,9,3,10,,,,,,,,,,,,,,
258,123033,1,3,9,,,,,,,,Mittelteil,,,,,,
259,123033,2,3,1,8,50,,,,,,,,,,,,
260,123033,13,3,3,,,,,,,,,,,,,,
261,123033,11,3,9,,,,,,,,,,,,,,
