ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
226;1230200;1;3;;;;11;;;;;;;;Zchng;;;;
227;1230033;30;10;;0,6;0,9;;;;;;;;;Winz-Bruch;;;;
228;1230033;175;3;;;;;;;;;;;;Winz-Bruch;;;;
229;1230289;40;;;;;;;;;;;;;Winz-Bruch;;;;
230;1230475;21;3;;0,35;0,75;;;;;;;;;überfeuert;;;;
231;1230418;2;3;;;0,3;2;2;;;;;;;schwarz;;;;
232;1230459;2;10;;0,75;0,9;;;;;;;;;j.slawisch;;;;
233;1230289;1;;;;0,45;;;;;;;;;i/a schwarz;;;;
234;1230340;1;;;;0,55;;;;;;;;;Harte Grauware?;;;;
235;1230418;2;;;;0,6;;;;;;;;;Harte Grauware;;;;
236;1230385;1;10;;;0,75;;;;;;;;;grobgemagert;;;;
237;1230439;4;3;;0,35;0,5;;;;;;;;;grau, auffallend hart gebrannt;;;;
238;1230460;1;10;;;0,65;;;;;;;;;dünnwandig;;;;
239;1230460;3;10;;0,5;0,7;;;;;;;;;dünnwandig;;;;
240;1230498;1;3;;;0,75;;;;;;;;;Bodenansatz;;;;
241;1230348;1;3;;;0,75;14;;;;;;;;Boden nah;;;;
242;1230383;1;3;;;;;;;;;;;;an RS;;;;
243;1230451;1;;;;;14;;2;;;;;;;;;;
244;1230289;1;3;;;;2;;2;;;;;;;;;;
245;1230289;1;3;;;;2;;14;24;;;;;;;;;
246;1230289;1;3;;;;1;;14;;;;;;;;;;
247;1230439;1;3;;0,8;1,2;25;;;;;;;;;;;;
248;1230050;2;3;;;;24;;;;;;;;;;;;
249;1230344;5;3;;;;24;;;;;;;;;;;;
250;1230344;12;3;;;;24;;;;;;;;;;;;
251;1230051;6;3;;0,6;0,7;24;;;;;;;;;;;;
252;1230484;1;3;;;;24;;;;;;;;;;;;
253;1230475;1;3;;0,4;0,8;24;;;;;;;;;;;;
254;1230409;2;3;;;0,75;24;;;;;;;;;;;;
255;1230395;1;3;;;0,75;24;;;;;;;;;;;;
256;1230481;2;3;;0,4;0,6;24;;;;;;;;;;;;
257;1230200;1;;;0,45;0,9;24;;;;;;;;;;;;
258;1230353;1;3;;;0,7;24;;;;;;;;;;;;
259;1230387;1;3;;;0,6;24;;;;;;;;;;;;
260;1230418;2;3;;;0,25;24;;;;;;;;;;;;
261;1230428;1;3;;0,6;0,9;24;;;;;;;;;;;;
262;1230396;2;3;;0,65;0,7;24;;;;;;;;;;;;
263;1230282;2;3;;;0,5;24;;;;;;;;;;;;
264;1230476;2;3;;;;24;;;;;;;;;;;;
265;1230473;1;3;;;0,6;24;;;;;;;;;;;;
266;1230464;10;3;;;0,6;24;;;;;;;;;;;;
267;1230464;1;3;;;0,6;24;;;;;;;;;;;;
268;1230394;1;3;;;0,7;24;;;;;;;;;;;;
269;1230041;1;3;;;;24;;;;;;;;;;;;
270;1230252;1;3;;;0,6;24;;;;;;;;;;;;
271;1230429;1;;;;;24;;;;;;;;;;;;
272;1230387;1;3;;0,65;0,8;22;;;;;;;;;;;;
273;1230396;1;3;;0,6;0,7;22;3;;;;;;;;;;;
274;1230409;1;3;;;;20;4;;;;;;;;;;;
275;1230451;1;3;;;0,6;20;2;;;;;;;;;;;
276;1230041;1;;;;;20;2;;;;;;;;;;;
277;1230440;1;3;;;0,75;20;;;;;;;;;;;;
278;1230451;3;3;;0,5;0,6;20;;;;;;;;;;;;
279;1230392;1;3;;0,5;;20;;;;;;;;;;;;
280;1230395;1;3;;;0,65;20;;;;;;;;;;;;
281;1230041;1;3;;;;20;;;;;;;;;;;;
282;1230234;1;3;;;0,45;20;;;;;;;;;;;;
283;1230289;1;3;;;;15;;;;;;;;;;;;
284;1230421;2;3;;;0,6;15;;;;;;;;;;;;
285;1230421;1;3;;;0,5;15;;;;;;;;;;;;
286;1230398;1;3;;;;14;;;;;;;;;;;;
287;1230340;1;3;;;;14;;;;;;;;;;;;
288;1230324;1;3;;;0,5;14;;;;;;;;;;;;
289;1230325;1;3;;;;14;;;;;;;;;;;;
290;1230344;1;3;;;;14;;;;;;;;;;;;
291;1230344;1;3;;0,6;0,7;14;;;;;;;;;;;;
292;1230344;1;3;;;0,65;14;;;;;;;;;;;;
293;1230348;1;3;;;0,7;14;;;;;;;;;;;;
294;1230206;1;3;;;0,6;14;;;;;;;;;;;;
295;1230387;1;3;;0,7;0,8;14;;;;;;;;;;;;
296;1230446;1;3;;;0,6;14;;;;;;;;;;;;
297;1230484;1;3;;;;14;;;;;;;;;;;;
298;1230475;1;3;;;0,4;14;;;;;;;;;;;;
299;1230409;1;3;;;;14;;;;;;;;;;;;
300;1230445;1;3;;;0,6;14;;;;;;;;;;;;
301;1230445;1;3;;;0,5;14;;;;;;;;;;;;
302;1230463;1;3;;;0,75;14;;;;;;;;;;;;
303;1230470;1;3;;;0,45;14;;;;;;;;;;;;
304;1230461;1;3;;;0,75;14;;;;;;;;;;;;
305;1230250;1;3;;;0,6;14;;;;;;;;;;;;
306;1230327;2;3;;0,45;0,8;13;;;;;;;;;;;;
307;1230325;1;3;;;0,4;13;;;;;;;;;;;;
308;1230289;1;3;;;;13;;;;;;;;;;;;
309;1230478;1;3;;;;13;;;;;;;;;;;;
310;1230451;1;3;;0,5;0,6;11;;;;;;;;;;;;
311;1230207;1;;;;0,75;11;;;;;;;;;;;;
312;1230383;1;;;;0,7;11;;;;;;;;;;;;
313;1230402;1;;;;;2;2;;;;;;;;;;;
314;1230493;2;3;;;0,6;2;2;;;;;;;;;;;
315;1230333;1;3;;0,6;0,7;2;;;;;;;;;;;;
316;1230289;1;3;;;0,5;2;;;;;26;10;;;;;;
317;1230289;1;3;;;0,65;2;;;;;21;8;;;;;;
318;1230289;1;3;;;0,9;2;;;;;;;;;;;;
319;1230478;3;3;;0,55;0,9;2;;;;;;;;;;;;
320;1230344;2;3;;;;2;;;;;;;;;;;;
321;1230344;1;3;;;;2;;;;;;;;;;;;
322;1230348;2;3;;;0,7;2;;;;;;;;;;;;
323;1230346;1;3;;;;2;;;;;;;;;;;;
324;1230385;1;3;;;0,75;2;;;;;;;;;;;;
325;1230319;1;3;;;0,6;2;;;;;;;;;;;;
326;1230421;3;3;;0,7;0,8;2;;;;;;;;;;;;
327;1230481;1;3;;;;2;;;;;;;;;;;;
328;1230493;1;;;;0,7;1;2;;;;;;;;;;;
329;1230340;1;3;;;0,8;1;;;;;;;;;;;;
330;1230340;1;3;;;0,75;1;;;;;;;;;;;;
331;1230333;1;3;;0,5;0,6;1;;;;;;;;;;;;
332;1230344;1;3;;;0,55;1;;;;;;;;;;;;
333;1230316;1;3;;;0,75;1;;;;;;;;;;;;
334;1230320;2;3;;0,55;0,7;1;;;;;;;;;;;;
335;1230446;1;3;;;0,7;1;;;;;;;;;;;;
336;1230428;2;3;;0,5;0,6;1;;;;;;;;;;;;
337;1230396;1;3;;;0,65;1;;;;;;;;;;;;
338;1230402;3;3;;;;1;;;;;;;;;;;;
339;1230464;1;3;;;0,5;1;;;;;;;;;;;;
340;1230367;1;3;;;0,7;1;;;;;;;;;;;;
341;1230477;30;10;;;;;;;;;;;;;;;;
342;1230386;28;10;;0,65;0,85;;;;;;;;;;;;;
343;1230319;1;20;;0,6;0,7;;;;;;;;;;;;;
344;1230340;9;10;;0,6;0,7;;;;;;;;;;;;;
345;1230330;4;10;;0,49;1;;;;;;;;;;;;;
346;1230324;6;10;;0,7;1;;;;;;;;;;;;;
347;1230327;7;10;;0,5;0,9;;;;;;;;;;;;;
348;1230325;7;10;;0,5;0,7;;;;;;;;;;;;;
349;1230289;28;10;;;;;;;;;;;;;;;;
350;1230343;2;10;;0,6;0,8;;;;;;;;;;;;;
351;1230478;16;10;;0,55;1;;;;;;;;;;;;;
352;1230033;37;10;;;;;;;;;;;;;;;;
353;1230348;16;10;;;;;;;;;;;;;;;;
354;1230346;9;10;;;;;;;;;;;;;;;;
355;1230051;27;10;;0,7;0,8;;;;;;;;;;;;;
356;1230353;4;10;;0,4;0,75;;;;;;;;;;;;;
357;1230197;8;10;;;;;;;;;;;;;;;;
358;1230204;3;10;;;;;;;;;;;;;;;;
359;1230200;10;10;;0,5;0,7;;;;;;;;;;;;;
360;1230206;4;10;;0,4;0,75;;;;;;;;;;;;;
361;1230207;8;10;;0,7;0,8;;;;;;;;;;;;;
362;1230385;4;10;;0,65;0,8;;;;;;;;;;;;;
363;1230383;4;10;;0,5;0,7;;;;;;;;;;;;;
364;1230380;5;10;;0,6;0,9;;;;;;;;;;;;;
365;1230316;4;10;;0,55;0,7;;;;;;;;;;;;;
366;1230319;1;10;;;0,75;;;;;;;;;;;;;
367;1230318;5;10;;0,65;0,8;;;;;;;;;;;;;
368;1230317;22;10;;0,7;0,8;;;;;;;;;;;;;
369;1230387;4;10;;0,6;0,7;;;;;;;;;;;;;
370;1230485;3;10;;0,5;0,6;;;;;;;;;;;;;
371;1230489;1;10;;0,6;0,75;;;;;;;;;;;;;
372;1230320;28;10;;;;;;;;;;;;;;;;
373;1230487;1;10;;;0,8;;;;;;;;;;;;;
374;1230482;6;10;;0,5;0,75;;;;;;;;;;;;;
375;1230446;11;10;;0,6;0,8;;;;;;;;;;;;;
376;1230390;7;10;;0,45;1,2;;;;;;;;;;;;;
377;1230442;20;10;;0,6;0,8;;;;;;;;;;;;;
378;1230484;7;10;;0,5;0,8;;;;;;;;;;;;;
379;1230421;12;10;;0,5;0,75;;;;;;;;;;;;;
380;1230440;5;10;;0,5;0,8;;;;;;;;;;;;;
381;1230439;26;10;;0,8;0,8;;;;;;;;;;;;;
382;1230420;3;10;;0,5;0,75;;;;;;;;;;;;;
383;1230425;4;10;;0,55;0,9;;;;;;;;;;;;;
384;1230418;15;10;;;;;;;;;;;;;;;;
385;1230478;1;10;;0,6;0,8;;;;;;;;;;;;;
386;1230475;14;10;;0,4;0,9;;;;;;;;;;;;;
387;1230415;2;10;;0,6;0,7;;;;;;;;;;;;;
388;1230414;2;10;;0,6;0,9;;;;;;;;;;;;;
389;1230409;16;10;;0,4;1;;;;;;;;;;;;;
390;1230450;5;10;;0,65;0,75;;;;;;;;;;;;;
391;1230451;13;10;;0,6;0,9;;;;;;;;;;;;;
392;1230445;5;10;;0,6;0,8;;;;;;;;;;;;;
393;1230431;1;10;;;0,7;;;;;;;;;;;;;
394;1230432;20;10;;0,7;1,4;;;;;;;;;;;;;
395;1230433;8;10;;;;;;;;;;;;;;;zu RS Zchng. 56III;
396;1230433;4;10;;;;;;;;;;;;;;;zu RS Zchng. 56IV;
397;1230433;15;10;;0,7;0,9;;;;;;;;;;;;;
398;1230429;22;10;;0,6;0,8;;;;;;;;;;;;;
399;1230428;34;10;;0,5;0,75;;;;;;;;;;;;;
400;1230426;2;10;;;0,55;;;;;;;;;;;;;
